utterance_id,ds_split,ds_index,speaker,l1,group,track,target_label,target_idx,duration_sec,split
1,validation,1,EDACC-C06-B,Mainstream US English,us,A,us,1,2.08,cal
3,validation,3,EDACC-C06-B,Mainstream US English,us,A,us,1,19.27,cal
5,validation,5,EDACC-C06-B,Mainstream US English,us,A,us,1,4.18,cal
7,validation,7,EDACC-C06-B,Mainstream US English,us,A,us,1,6.91,cal
9,validation,9,EDACC-C06-B,Mainstream US English,us,A,us,1,1.51,cal
11,validation,11,EDACC-C06-B,Mainstream US English,us,A,us,1,7.33,cal
13,validation,13,EDACC-C06-B,Mainstream US English,us,A,us,1,2.62,cal
15,validation,15,EDACC-C06-B,Mainstream US English,us,A,us,1,4.54,cal
17,validation,17,EDACC-C06-B,Mainstream US English,us,A,us,1,3.94,cal
19,validation,19,EDACC-C06-B,Mainstream US English,us,A,us,1,4.09,cal
21,validation,21,EDACC-C06-B,Mainstream US English,us,A,us,1,3.76,cal
23,validation,23,EDACC-C06-B,Mainstream US English,us,A,us,1,10.78,cal
25,validation,25,EDACC-C06-B,Mainstream US English,us,A,us,1,4.18,cal
27,validation,27,EDACC-C06-B,Mainstream US English,us,A,us,1,19.96,cal
29,validation,29,EDACC-C06-B,Mainstream US English,us,A,us,1,4.21,cal
37,validation,37,EDACC-C06-B,Mainstream US English,us,A,us,1,1.48,cal
39,validation,39,EDACC-C06-B,Mainstream US English,us,A,us,1,1.15,cal
43,validation,43,EDACC-C06-B,Mainstream US English,us,A,us,1,4.51,cal
45,validation,45,EDACC-C06-B,Mainstream US English,us,A,us,1,2.95,cal
49,validation,49,EDACC-C06-B,Mainstream US English,us,A,us,1,3.16,cal
51,validation,51,EDACC-C06-B,Mainstream US English,us,A,us,1,2.89,cal
53,validation,53,EDACC-C06-B,Mainstream US English,us,A,us,1,3.43,cal
55,validation,55,EDACC-C06-B,Mainstream US English,us,A,us,1,6.37,cal
57,validation,57,EDACC-C06-B,Mainstream US English,us,A,us,1,2.02,cal
59,validation,59,EDACC-C06-B,Mainstream US English,us,A,us,1,2.98,cal
61,validation,61,EDACC-C06-B,Mainstream US English,us,A,us,1,1.48,cal
63,validation,63,EDACC-C06-B,Mainstream US English,us,A,us,1,2.68,cal
69,validation,69,EDACC-C06-B,Mainstream US English,us,A,us,1,8.71,cal
71,validation,71,EDACC-C06-B,Mainstream US English,us,A,us,1,4.66,cal
75,validation,75,EDACC-C06-B,Mainstream US English,us,A,us,1,4.57,cal
77,validation,77,EDACC-C06-B,Mainstream US English,us,A,us,1,1.54,cal
